Rank,Title,Year,Gross
1,Avatar,2009,760505847
2,Titanic,1997,658672302
3,The Avengers,2012,623279547
4,The Dark Knight,2008,533316061
5,Star Wars: Episode I - The Phantom Menace,1999,474544677
6,Star Wars,1977,460935665
7,The Dark Knight Rises,2012,448130642
8,Shrek 2,2004,436471036
9,E.T. the Extra-Terrestrial,1982,434949459
10,Pirates of the Caribbean: Dead Man's Chest,2006,423032628
11,The Lion King,1994,422783777
12,Toy Story 3,2010,414984497
13,Iron Man 3,2013,408992272
14,The Hunger Games,2012,407999255
15,Spider-Man,2002,403706375